contract_name,last_trade_date,strike_price,last_price,bid_price,ask_price,implied_volatility
AMZN180420C00990000,2018-02-02 1:39PM EST,990.00,469.80,445.80,450.80,86.26%
AMZN180420C00995000,2018-02-02 3:13PM EST,995.00,449.55,440.90,445.90,85.46%
AMZN180420C01000000,2018-02-02 1:37PM EST,1000.00,462.05,435.95,440.95,84.62%
AMZN180420C01005000,2018-02-02 9:50AM EST,1005.00,452.88,431.00,436.00,83.78%
AMZN180420C01010000,2018-01-31 10:23AM EST,1010.00,459.78,426.25,431.25,83.09%
AMZN180420C01015000,2018-02-02 10:31AM EST,1015.00,463.84,421.10,426.10,82.12%
AMZN180420C01020000,2018-01-31 10:23AM EST,1020.00,450.09,416.45,421.45,81.49%
AMZN180420C01025000,2018-02-02 3:13PM EST,1025.00,420.20,411.20,416.20,80.46%
AMZN180420C01030000,2018-02-02 9:43AM EST,1030.00,451.40,406.70,411.70,79.94%
AMZN180420C01035000,2017-12-07 3:40PM EST,1035.00,158.50,157.95,160.65,0.00%
AMZN180420C01040000,2018-01-24 1:47PM EST,1040.00,322.40,368.00,372.30,56.88%
AMZN180420C01045000,2018-02-01 3:31PM EST,1045.00,373.88,391.95,396.95,77.54%
AMZN180420C01050000,2018-02-02 3:01PM EST,1050.00,400.25,387.00,392.00,76.73%
AMZN180420C01055000,2018-01-24 1:03PM EST,1055.00,309.00,353.55,357.90,55.29%
AMZN180420C01060000,2018-02-02 9:37AM EST,1060.00,442.60,377.85,382.85,75.57%
AMZN180420C01065000,2018-01-17 12:55PM EST,1065.00,245.78,240.50,245.40,0.00%
AMZN180420C01070000,2018-02-01 3:40PM EST,1070.00,331.92,367.85,372.85,73.89%
AMZN180420C01075000,2018-02-02 10:38AM EST,1075.00,411.00,363.15,368.15,73.23%
AMZN180420C01080000,2018-02-02 9:52AM EST,1080.00,371.10,358.35,363.35,72.52%
AMZN180420C01100000,2018-02-05 1:25PM EST,1100.00,345.50,317.10,322.10,55.62%
AMZN180420C01120000,2018-02-05 9:30AM EST,1120.00,293.20,298.75,303.75,53.80%
AMZN180420C01140000,2018-02-02 2:20PM EST,1140.00,321.15,301.60,306.60,64.42%
AMZN180420C01160000,2018-02-05 2:50PM EST,1160.00,281.53,262.85,267.85,50.45%
AMZN180420C01180000,2018-02-05 2:50PM EST,1180.00,263.58,243.15,251.70,51.08%
AMZN180420C01200000,2018-02-05 3:00PM EST,1200.00,238.00,228.45,233.45,48.93%
AMZN180420C01220000,2018-02-05 2:22PM EST,1220.00,236.25,212.75,217.35,47.82%
AMZN180420C01240000,2018-02-05 2:47PM EST,1240.00,219.44,196.20,201.20,46.54%
AMZN180420C01260000,2018-02-05 2:47PM EST,1260.00,203.09,181.05,185.90,45.50%
AMZN180420C01280000,2018-02-05 2:53PM EST,1280.00,177.80,166.15,171.10,44.52%
AMZN180420C01300000,2018-02-05 3:02PM EST,1300.00,161.00,151.90,155.75,43.10%
AMZN180420C01320000,2018-02-05 3:12PM EST,1320.00,120.25,138.60,142.30,42.33%
AMZN180420C01340000,2018-02-05 3:01PM EST,1340.00,133.53,125.90,129.60,41.65%
AMZN180420C01350000,2018-02-05 1:40PM EST,1350.00,137.15,120.95,125.95,42.34%
AMZN180420C01360000,2018-02-05 3:02PM EST,1360.00,122.46,115.15,120.15,42.07%
AMZN180420C01380000,2018-02-05 1:56PM EST,1380.00,125.00,102.10,106.00,40.34%
AMZN180420C01390000,2018-02-05 2:30PM EST,1390.00,112.04,96.75,101.15,40.29%
AMZN180420C01400000,2018-02-05 3:03PM EST,1400.00,95.75,92.05,96.00,40.05%
AMZN180420C01410000,2018-02-05 3:04PM EST,1410.00,92.50,86.85,91.15,39.88%
AMZN180420C01420000,2018-02-05 3:03PM EST,1420.00,88.50,82.35,86.45,39.70%
AMZN180420C01430000,2018-02-05 3:05PM EST,1430.00,79.80,78.25,82.60,39.80%
AMZN180420C01440000,2018-02-05 3:12PM EST,1440.00,63.20,73.50,77.60,39.38%
AMZN180420C01450000,2018-02-05 2:57PM EST,1450.00,71.41,68.75,72.15,38.71%
AMZN180420C01460000,2018-02-05 3:12PM EST,1460.00,52.50,65.10,70.00,39.31%
AMZN180420C01470000,2018-02-05 2:59PM EST,1470.00,67.82,61.45,65.85,39.05%
AMZN180420C01480000,2018-02-05 2:52PM EST,1480.00,63.00,57.65,61.70,38.73%
AMZN180420C01490000,2018-02-05 2:59PM EST,1490.00,58.70,54.10,60.10,39.40%
AMZN180420C01500000,2018-02-05 3:12PM EST,1500.00,44.50,50.45,56.65,39.25%
AMZN180420C01510000,2018-02-05 2:16PM EST,1510.00,57.65,47.20,51.40,38.27%
AMZN180420C01520000,2018-02-05 2:34PM EST,1520.00,54.80,44.95,49.45,38.64%
AMZN180420C01530000,2018-02-05 1:48PM EST,1530.00,51.30,42.10,46.50,38.52%
AMZN180420C01540000,2018-02-05 2:55PM EST,1540.00,40.00,39.10,44.00,38.55%
AMZN180420C01550000,2018-02-05 2:53PM EST,1550.00,41.05,37.50,42.00,38.75%
AMZN180420C01560000,2018-02-05 2:50PM EST,1560.00,38.00,34.25,39.00,38.44%
AMZN180420C01580000,2018-02-05 2:58PM EST,1580.00,31.25,29.50,34.50,38.36%
AMZN180420C01600000,2018-02-05 2:57PM EST,1600.00,27.90,25.60,30.50,38.30%
AMZN180420C01620000,2018-02-05 2:29PM EST,1620.00,27.14,22.25,27.00,38.31%
AMZN180420C01640000,2018-02-05 3:02PM EST,1640.00,24.00,18.90,23.50,38.11%
AMZN180420C01660000,2018-02-05 2:57PM EST,1660.00,18.84,16.70,21.00,38.30%
AMZN180420C01680000,2018-02-05 12:28PM EST,1680.00,17.45,14.50,17.35,37.55%
AMZN180420C01700000,2018-02-05 2:59PM EST,1700.00,15.75,12.55,16.50,38.50%
AMZN180420C01720000,2018-02-05 12:16PM EST,1720.00,12.35,11.15,15.00,38.89%
AMZN180420C01740000,2018-02-05 2:43PM EST,1740.00,12.20,9.75,13.50,39.16%
AMZN180420C01760000,2018-02-05 2:40PM EST,1760.00,10.20,8.30,12.00,39.30%
AMZN180420C01780000,2018-02-05 2:55PM EST,1780.00,8.00,7.20,10.75,39.51%
AMZN180420C01800000,2018-02-05 1:32PM EST,1800.00,8.50,7.15,7.50,37.50%
AMZN180420C01820000,2018-02-05 10:46AM EST,1820.00,7.15,5.55,8.90,40.22%
AMZN180420C01840000,2018-02-05 10:52AM EST,1840.00,6.35,4.85,8.00,40.44%
AMZN180420C01860000,2018-02-05 9:40AM EST,1860.00,4.80,4.30,7.25,40.73%
AMZN180420C01880000,2018-02-05 2:50PM EST,1880.00,4.60,4.10,6.55,40.98%
AMZN180420C01900000,2018-02-05 1:58PM EST,1900.00,4.80,3.35,5.95,41.27%
AMZN180420C01920000,2018-02-02 11:46PM EST,1920.00,4.75,2.99,4.20,39.63%
AMZN180420C01940000,2018-02-02 11:46PM EST,1940.00,3.90,2.53,3.90,40.10%
AMZN180420C01960000,2018-02-02 11:46PM EST,1960.00,3.90,2.24,3.60,40.52%
AMZN180420C01980000,2018-02-05 1:12PM EST,1980.00,2.82,2.01,4.45,43.04%
AMZN180420C02000000,2018-02-05 2:15PM EST,2000.00,2.65,1.80,3.60,42.41%
AMZN180420C00620000,2018-01-25 3:11PM EST,620.00,750.00,782.25,786.75,119.16%
AMZN180420C00640000,2018-01-16 10:06AM EST,640.00,688.40,656.00,660.70,0.00%
AMZN180420C00660000,2018-01-16 3:08PM EST,660.00,653.10,636.00,640.80,0.00%
AMZN180420C00680000,2018-02-02 3:12PM EST,680.00,757.35,752.95,757.95,147.23%
AMZN180420C00700000,2018-02-05 11:41AM EST,700.00,742.35,706.10,714.90,112.74%
AMZN180420C00720000,2018-02-02 3:10PM EST,720.00,711.80,713.25,718.25,137.99%
AMZN180420C00740000,2018-02-05 11:41AM EST,740.00,702.60,665.60,670.60,101.72%
AMZN180420C00760000,2018-02-02 3:13PM EST,760.00,679.60,673.55,678.55,129.24%
AMZN180420C00780000,2018-02-05 11:41AM EST,780.00,662.90,626.40,635.50,98.33%
AMZN180420C00800000,2018-02-02 3:12PM EST,800.00,638.05,633.75,638.75,120.85%
AMZN180420C00820000,2017-08-25 10:57PM EST,820.00,169.40,183.15,186.90,0.00%
AMZN180420C00835000,2017-12-01 9:49AM EST,835.00,345.25,335.60,340.50,0.00%
AMZN180420C00840000,2018-01-09 1:51PM EST,840.00,416.05,468.95,472.05,0.00%
AMZN180420C00845000,2017-11-28 1:52PM EST,845.00,360.00,324.75,329.50,0.00%
AMZN180420C00860000,2018-02-02 9:43AM EST,860.00,623.00,574.35,579.35,109.21%
AMZN180420C00870000,2017-10-10 9:42AM EST,870.00,330.75,306.40,310.75,0.00%
AMZN180420C00875000,2018-02-01 10:31AM EST,875.00,556.70,559.40,564.40,106.33%
AMZN180420C00880000,2017-12-29 10:02AM EST,880.00,308.06,296.60,301.50,0.00%
AMZN180420C00885000,2018-01-09 3:03PM EST,885.00,376.50,424.55,427.60,0.00%
AMZN180420C00890000,2017-10-10 9:42AM EST,890.00,136.15,129.15,132.15,0.00%
AMZN180420C00895000,2018-01-29 10:31AM EST,895.00,524.50,539.60,544.60,102.67%
AMZN180420C00900000,2018-01-24 2:59PM EST,900.00,471.84,504.65,509.05,73.73%
AMZN180420C00905000,2017-10-30 9:34AM EST,905.00,236.00,223.15,226.80,0.00%
AMZN180420C00910000,2017-12-08 11:32AM EST,910.00,271.50,264.60,268.65,0.00%
AMZN180420C00915000,2017-10-27 1:21PM EST,915.00,206.35,206.00,210.35,0.00%
AMZN180420C00920000,2018-02-05 10:35AM EST,920.00,522.35,490.85,495.85,77.60%
AMZN180420C00925000,2018-02-02 3:13PM EST,925.00,518.40,509.90,514.90,97.29%
AMZN180420C00930000,2017-12-07 9:31AM EST,930.00,476.27,475.10,479.50,69.78%
AMZN180420C00935000,2018-01-23 10:01AM EST,935.00,471.37,470.35,474.60,69.24%
AMZN180420C00940000,2018-02-02 3:01PM EST,940.00,508.00,495.10,500.10,94.69%
AMZN180420C00945000,2018-01-16 11:54AM EST,945.00,383.40,355.00,359.50,0.00%
AMZN180420C00950000,2018-02-05 9:38AM EST,950.00,467.85,458.75,467.30,72.64%
AMZN180420C00955000,2018-02-02 3:13PM EST,955.00,488.85,480.45,485.45,92.24%
AMZN180420C00960000,2018-01-17 12:37PM EST,960.00,344.70,340.50,345.00,0.00%
AMZN180420C00965000,2018-02-02 9:43AM EST,965.00,515.30,470.45,475.45,90.44%
AMZN180420C00970000,2018-02-01 10:54AM EST,970.00,476.05,465.50,470.50,89.59%
AMZN180420C00975000,2018-02-02 9:43AM EST,975.00,505.80,460.60,465.60,88.77%
AMZN180420C00980000,2018-01-30 9:40AM EST,980.00,435.55,455.70,460.70,87.95%
AMZN180420C00985000,2018-02-05 2:51PM EST,985.00,442.57,423.65,432.20,67.27%
AMZN180420C00990000,2018-02-02 1:39PM EST,990.00,469.80,445.80,450.80,86.26%
AMZN180420C00995000,2018-02-02 3:13PM EST,995.00,449.55,440.90,445.90,85.46%
AMZN180420C01000000,2018-02-02 1:37PM EST,1000.00,462.05,435.95,440.95,84.62%
AMZN180420C01005000,2018-02-02 9:50AM EST,1005.00,452.88,431.00,436.00,83.78%
AMZN180420C01010000,2018-01-31 10:23AM EST,1010.00,459.78,426.25,431.25,83.09%
AMZN180420C01015000,2018-02-02 10:31AM EST,1015.00,463.84,421.10,426.10,82.12%
AMZN180420C01020000,2018-01-31 10:23AM EST,1020.00,450.09,416.45,421.45,81.49%
AMZN180420C01025000,2018-02-02 3:13PM EST,1025.00,420.20,411.20,416.20,80.46%
AMZN180420C01030000,2018-02-02 9:43AM EST,1030.00,451.40,406.70,411.70,79.94%
AMZN180420C01035000,2017-12-07 3:40PM EST,1035.00,158.50,157.95,160.65,0.00%
AMZN180420C01040000,2018-01-24 1:47PM EST,1040.00,322.40,368.00,372.30,56.88%
AMZN180420C01045000,2018-02-01 3:31PM EST,1045.00,373.88,391.95,396.95,77.54%
AMZN180420C01050000,2018-02-02 3:01PM EST,1050.00,400.25,387.00,392.00,76.73%
AMZN180420C01055000,2018-01-24 1:03PM EST,1055.00,309.00,353.55,357.90,55.29%
AMZN180420C01060000,2018-02-02 9:37AM EST,1060.00,442.60,377.85,382.85,75.57%
AMZN180420C01065000,2018-01-17 12:55PM EST,1065.00,245.78,240.50,245.40,0.00%
AMZN180420C01070000,2018-02-01 3:40PM EST,1070.00,331.92,367.85,372.85,73.89%
AMZN180420C01075000,2018-02-02 10:38AM EST,1075.00,411.00,363.15,368.15,73.23%
AMZN180420C01080000,2018-02-02 9:52AM EST,1080.00,371.10,358.35,363.35,72.52%
AMZN180420C01100000,2018-02-05 1:25PM EST,1100.00,345.50,317.10,322.10,55.62%
AMZN180420C01120000,2018-02-05 9:30AM EST,1120.00,293.20,298.75,303.75,53.80%
AMZN180420C01140000,2018-02-02 2:20PM EST,1140.00,321.15,301.60,306.60,64.42%
AMZN180420C01160000,2018-02-05 2:50PM EST,1160.00,281.53,262.85,267.85,50.45%
AMZN180420C01180000,2018-02-05 2:50PM EST,1180.00,263.58,243.15,251.70,51.08%
AMZN180420C01200000,2018-02-05 3:00PM EST,1200.00,238.00,228.45,233.45,48.93%
