contract_name,last_trade_date,strike_price,last_price,bid_price,ask_price,implied_volatility
AMZN180323C01950000,2018-02-02 11:46PM EST,1950.00,1.84,1.10,2.89,48.73%
AMZN180323C01960000,2018-02-02 11:46PM EST,1960.00,2.01,1.02,2.83,49.16%
AMZN180323C01970000,2018-02-02 11:46PM EST,1970.00,1.66,0.92,2.78,49.60%
AMZN180323C01980000,2018-02-02 11:46PM EST,1980.00,1.82,0.93,2.73,50.04%
AMZN180323C01990000,2018-02-02 11:46PM EST,1990.00,1.51,0.84,2.68,50.47%
AMZN180323C02040000,2018-02-02 11:46PM EST,2040.00,1.36,0.72,2.45,52.55%
AMZN180323C02050000,2018-02-05 1:43PM EST,2050.00,0.85,0.33,2.52,53.33%
AMZN180323C02080000,2018-02-02 11:46PM EST,2080.00,1.11,0.66,2.40,51.11%
AMZN180323C01060000,2018-02-02 11:46PM EST,1060.00,385.90,373.70,378.70,92.12%
AMZN180323C01070000,2018-02-02 11:46PM EST,1070.00,396.30,363.85,368.85,90.16%
AMZN180323C01100000,2018-02-02 11:46PM EST,1100.00,379.70,334.45,339.45,84.42%
AMZN180323C01170000,2018-02-02 11:46PM EST,1170.00,261.55,266.90,271.90,71.89%
AMZN180323C01190000,2018-02-05 12:22PM EST,1190.00,258.05,226.20,231.20,53.17%
AMZN180323C01200000,2018-02-05 9:32AM EST,1200.00,214.75,218.60,223.55,53.13%
AMZN180323C01240000,2018-02-05 10:10AM EST,1240.00,212.00,182.80,187.60,50.16%
AMZN180323C01250000,2018-02-05 2:58PM EST,1250.00,179.65,174.90,179.90,49.71%
AMZN180323C01270000,2018-02-05 2:52PM EST,1270.00,173.70,157.90,162.90,47.63%
AMZN180323C01290000,2018-02-02 11:46PM EST,1290.00,178.50,159.85,164.20,54.58%
AMZN180323C01310000,2018-02-05 9:43AM EST,1310.00,127.70,128.85,133.65,45.55%
AMZN180323C01340000,2018-02-05 1:37PM EST,1340.00,129.75,109.90,113.85,44.34%
AMZN180323C01350000,2018-02-05 11:40AM EST,1350.00,122.33,103.65,107.00,43.65%
AMZN180323C01360000,2018-02-05 12:34PM EST,1360.00,120.20,97.95,102.30,43.97%
AMZN180323C01370000,2018-02-05 1:31PM EST,1370.00,108.10,90.95,95.50,43.13%
AMZN180323C01400000,2018-02-05 1:44PM EST,1400.00,90.44,74.65,78.20,41.65%
AMZN180323C01415000,2018-02-05 3:05PM EST,1415.00,70.00,67.30,71.25,41.45%
AMZN180323C01425000,2018-02-05 2:52PM EST,1425.00,71.40,62.65,66.80,41.29%
AMZN180323C01430000,2018-02-05 2:48PM EST,1430.00,69.77,60.60,64.90,41.34%
AMZN180323C01432500,2018-02-05 2:55PM EST,1432.50,61.50,59.40,63.70,41.23%
AMZN180323C01435000,2018-02-05 2:53PM EST,1435.00,62.80,58.30,62.45,41.09%
AMZN180323C01437500,2018-02-05 11:00AM EST,1437.50,74.45,57.55,61.45,41.07%
AMZN180323C01440000,2018-02-05 3:06PM EST,1440.00,58.50,56.50,60.60,41.12%
AMZN180323C01442500,2018-02-05 11:41AM EST,1442.50,66.41,55.40,59.50,41.04%
AMZN180323C01445000,2018-02-05 11:44AM EST,1445.00,64.61,54.45,58.45,40.97%
AMZN180323C01450000,2018-02-05 2:44PM EST,1450.00,64.95,52.40,56.35,40.83%
AMZN180323C01455000,2018-02-05 11:12AM EST,1455.00,65.86,50.45,54.60,40.84%
AMZN180323C01460000,2018-02-05 11:48AM EST,1460.00,57.15,48.40,52.80,40.80%
AMZN180323C01462500,2018-02-05 2:55PM EST,1462.50,50.25,47.45,51.65,40.65%
AMZN180323C01465000,2018-02-05 12:50PM EST,1465.00,62.00,46.55,50.70,40.59%
AMZN180323C01467500,2018-02-02 11:46PM EST,1467.50,65.00,49.95,53.55,42.51%
AMZN180323C01470000,2018-02-05 2:55PM EST,1470.00,47.65,44.60,48.80,40.45%
AMZN180323C01472500,2018-02-05 12:31PM EST,1472.50,56.40,43.95,48.50,40.72%
AMZN180323C01475000,2018-02-05 2:28PM EST,1475.00,52.45,43.35,47.30,40.50%
AMZN180323C01477500,2018-02-02 11:46PM EST,1477.50,48.00,46.25,49.35,42.01%
AMZN180323C01480000,2018-02-05 2:55PM EST,1480.00,41.25,41.25,45.85,40.56%
AMZN180323C01482500,2018-02-05 10:09AM EST,1482.50,45.36,40.85,45.50,40.78%
AMZN180323C01485000,2018-02-02 11:46PM EST,1485.00,54.60,43.35,46.55,41.75%
AMZN180323C01487500,2018-02-02 11:46PM EST,1487.50,66.42,42.35,45.80,41.75%
AMZN180323C01490000,2018-02-02 11:46PM EST,1490.00,45.08,41.25,44.90,41.67%
AMZN180323C01495000,2018-02-02 11:46PM EST,1495.00,48.90,39.75,43.00,41.42%
AMZN180323C01500000,2018-02-05 2:22PM EST,1500.00,43.00,35.15,39.80,40.43%
AMZN180323C01502500,2018-02-02 11:46PM EST,1502.50,42.16,37.10,40.90,41.43%
AMZN180323C01520000,2018-02-05 2:54PM EST,1520.00,33.54,30.20,34.40,40.32%
AMZN180323C01530000,2018-02-02 11:46PM EST,1530.00,32.87,29.30,32.30,40.48%
AMZN180323C01535000,2018-02-02 11:46PM EST,1535.00,38.80,28.10,31.00,40.39%
AMZN180323C01540000,2018-02-05 2:22PM EST,1540.00,31.18,25.25,29.90,40.39%
AMZN180323C01545000,2018-02-02 11:46PM EST,1545.00,41.75,25.85,28.45,40.16%
AMZN180323C01550000,2018-02-05 2:22PM EST,1550.00,28.69,23.55,27.65,40.31%
AMZN180323C01555000,2018-02-02 11:46PM EST,1555.00,30.95,23.40,26.35,40.12%
AMZN180323C01560000,2018-02-05 11:14AM EST,1560.00,26.80,21.45,26.40,40.78%
AMZN180323C01565000,2018-02-05 12:50PM EST,1565.00,27.45,10.00,30.00,43.72%
AMZN180323C01575000,2018-02-05 10:42AM EST,1575.00,23.30,18.25,22.10,39.74%
AMZN180323C01580000,2018-02-05 11:56AM EST,1580.00,21.50,17.70,21.50,39.91%
AMZN180323C01595000,2018-02-02 11:46PM EST,1595.00,26.70,16.25,18.80,39.68%
AMZN180323C01600000,2018-02-05 10:53AM EST,1600.00,20.13,14.95,18.55,40.05%
AMZN180323C01605000,2018-02-02 11:46PM EST,1605.00,18.50,14.60,17.25,39.60%
AMZN180323C01615000,2018-02-05 1:30PM EST,1615.00,16.70,12.85,16.55,40.12%
AMZN180323C01620000,2018-02-02 11:46PM EST,1620.00,16.44,12.85,15.10,39.46%
AMZN180323C01625000,2018-02-05 2:24PM EST,1625.00,15.32,11.95,15.75,40.52%
AMZN180323C01630000,2018-02-02 11:46PM EST,1630.00,15.06,11.70,13.75,39.33%
AMZN180323C01635000,2018-02-05 2:24PM EST,1635.00,14.10,6.50,16.50,42.18%
AMZN180323C01640000,2018-02-05 11:34AM EST,1640.00,12.58,10.45,14.00,40.56%
AMZN180323C01650000,2018-02-02 11:46PM EST,1650.00,11.37,9.90,11.75,39.47%
AMZN180323C01700000,2018-02-05 12:55PM EST,1700.00,8.30,6.15,9.00,41.15%
AMZN180323C01800000,2018-02-05 11:06AM EST,1800.00,3.90,2.71,5.20,43.82%
AMZN180323C01870000,2018-02-02 11:46PM EST,1870.00,2.28,1.90,3.55,45.40%
AMZN180323C01880000,2018-02-02 11:46PM EST,1880.00,3.00,2.01,3.45,45.82%
AMZN180323C01890000,2018-02-02 11:46PM EST,1890.00,3.00,0.28,3.00,45.35%
AMZN180323C01910000,2018-02-02 11:46PM EST,1910.00,2.24,1.67,3.15,46.99%
AMZN180323C01930000,2018-02-02 11:46PM EST,1930.00,1.98,1.47,3.05,47.96%
AMZN180323C01950000,2018-02-02 11:46PM EST,1950.00,1.84,1.10,2.89,48.73%
AMZN180323C01960000,2018-02-02 11:46PM EST,1960.00,2.01,1.02,2.83,49.16%
AMZN180323C01970000,2018-02-02 11:46PM EST,1970.00,1.66,0.92,2.78,49.60%
AMZN180323C01980000,2018-02-02 11:46PM EST,1980.00,1.82,0.93,2.73,50.04%
AMZN180323C01990000,2018-02-02 11:46PM EST,1990.00,1.51,0.84,2.68,50.47%
AMZN180323C02040000,2018-02-02 11:46PM EST,2040.00,1.36,0.72,2.45,52.55%
AMZN180323C02050000,2018-02-05 1:43PM EST,2050.00,0.85,0.33,2.52,53.33%
AMZN180323C02080000,2018-02-02 11:46PM EST,2080.00,1.11,0.66,2.40,51.11%
